Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip Duration (min),Request Hour,Request Day,Weekday
2417,City,77,Trip Completed,12/7/2016 19:59,12/7/2016 21:22,83,19,12/7/2016,Wednesday
4049,City,55,Trip Completed,7/14/2016 1:03,7/14/2016 2:26,82.9,1,7/14/2016,Thursday
5976,Airport,221,Trip Completed,7/15/2016 11:10,7/15/2016 12:32,82.06666667,11,7/15/2016,Friday
3656,City,126,Trip Completed,7/13/2016 19:11,7/13/2016 20:32,81.18333333,19,7/13/2016,Wednesday
5086,Airport,113,Trip Completed,7/14/2016 19:41,7/14/2016 21:02,81.11666667,19,7/14/2016,Thursday
6042,Airport,273,Trip Completed,7/15/2016 13:09,7/15/2016 14:30,81.11666667,13,7/15/2016,Friday
3291,City,185,Trip Completed,7/13/2016 11:10,7/13/2016 12:31,81.03333333,11,7/13/2016,Wednesday
510,City,100,Trip Completed,11/7/2016 9:40,11/7/2016 11:01,81,9,11/7/2016,Monday
2169,Airport,239,Trip Completed,12/7/2016 17:30,12/7/2016 18:51,81,17,12/7/2016,Wednesday
2553,Airport,273,Trip Completed,12/7/2016 21:23,12/7/2016 22:44,81,21,12/7/2016,Wednesday
6623,City,291,Trip Completed,7/15/2016 21:51,7/15/2016 23:12,80.5,21,7/15/2016,Friday
4865,Airport,195,Trip Completed,7/14/2016 17:37,7/14/2016 18:57,80.3,17,7/14/2016,Thursday
4336,City,166,Trip Completed,7/14/2016 7:14,7/14/2016 8:34,80.26666667,7,7/14/2016,Thursday
1274,City,35,Trip Completed,11/7/2016 22:01,11/7/2016 23:21,80,22,11/7/2016,Monday
4119,City,59,Trip Completed,7/14/2016 4:22,7/14/2016 5:42,79.93333333,4,7/14/2016,Thursday
3954,Airport,43,Trip Completed,7/13/2016 22:43,7/14/2016 0:03,79.76666667,22,7/13/2016,Wednesday
4736,City,162,Trip Completed,7/14/2016 14:31,7/14/2016 15:50,79.63333333,14,7/14/2016,Thursday
3613,Airport,239,Trip Completed,7/13/2016 18:47,7/13/2016 20:06,79.61666667,18,7/13/2016,Wednesday
6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,79.1,16,7/15/2016,Friday
602,City,164,Trip Completed,11/7/2016 11:38,11/7/2016 12:57,79,11,11/7/2016,Monday
375,Airport,279,Trip Completed,11/7/2016 8:07,11/7/2016 9:26,79,8,11/7/2016,Monday
2824,City,275,Trip Completed,7/13/2016 5:10,7/13/2016 6:29,78.83333333,5,7/13/2016,Wednesday
